country,year,net_income_MEUR
EU,2012,242021
EU,2013,243075
EU,2014,246891
EU,2015,252831
EU,2016,259480
EU,2017,268274
EU,2018,277513
EU,2019,287273
EU,2020,287418
EU,2021,300797
EU,2022,323130
EU,2023,348827
BE,2012,214222
BE,2013,216093
BE,2014,218886
BE,2015,221368
BE,2016,228012
BE,2017,236290
BE,2018,244326
BE,2019,255266
BE,2020,259897
BE,2021,273452
BE,2022,298136
BE,2023,323662
BG,2012,25019
BG,2013,25457
BG,2014,25775
BG,2015,26768
BG,2016,27961
BG,2017,30033
BG,2018,33307
BG,2019,34702
BG,2020,34152
BG,2021,37445
BG,2022,44859
BG,2023,48426
CZ,2012,85749
CZ,2013,82782
CZ,2014,81080
CZ,2015,84175
CZ,2016,88239
CZ,2017,97669
CZ,2018,107534
CZ,2019,114169
CZ,2020,115005
CZ,2021,129673
CZ,2022,153928
CZ,2023,173483
DK,2012,108462
DK,2013,110065
DK,2014,110570
DK,2015,115997
DK,2016,122638
DK,2017,126756
DK,2018,131773
DK,2019,135302
DK,2020,135512
DK,2021,139594
DK,2022,154412
DK,2023,161902
DE,2012,1617417
DE,2013,1639876
DE,2014,1680859
DE,2015,1732228
DE,2016,1786047
DE,2017,1845358
DE,2018,1920328
DE,2019,1966165
DE,2020,1967301
DE,2021,2024038
DE,2022,2186293
DE,2023,2337694
EE,2012,8798
EE,2013,9659
EE,2014,10012
EE,2015,10711
EE,2016,11233
EE,2017,12105
EE,2018,13687
EE,2019,14549
EE,2020,14767
EE,2021,16012
EE,2022,18209
EE,2023,19553
IE,2012,84056
IE,2013,83605
IE,2014,84899
IE,2015,89961
IE,2016,94554
IE,2017,100829
IE,2018,105048
IE,2019,112840
IE,2020,119053
IE,2021,124967
IE,2022,135066
IE,2023,150246
GR,2012,112458
GR,2013,104967
GR,2014,107829
GR,2015,106439
GR,2016,105872
GR,2017,108390
GR,2018,107139
GR,2019,115527
GR,2020,110166
GR,2021,122456
GR,2022,130216
GR,2023,141082
ES,2012,627570
ES,2013,627499
ES,2014,629250
ES,2015,655373
ES,2016,672174
ES,2017,692155
ES,2018,712540
ES,2019,747978
ES,2020,729805
ES,2021,764598
ES,2022,801958
ES,2023,888799
FR,2012,1231453
FR,2013,1226120
FR,2014,1243092
FR,2015,1257754
FR,2016,1279348
FR,2017,1309912
FR,2018,1345906
FR,2019,1389939
FR,2020,1400348
FR,2021,1465582
FR,2022,1536957
FR,2023,1663841
HR,2012,26328
HR,2013,25993
HR,2014,25879
HR,2015,25443
HR,2016,26913
HR,2017,27630
HR,2018,29414
HR,2019,30815
HR,2020,30607
HR,2021,34339
HR,2022,38388
HR,2023,45033
IT,2012,1007428
IT,2013,1010062
IT,2014,1017907
IT,2015,1031248
IT,2016,1045364
IT,2017,1068373
IT,2018,1084105
IT,2019,1092046
IT,2020,1064839
IT,2021,1117107
IT,2022,1188950
IT,2023,1251941
CY,2012,12789
CY,2013,12144
CY,2014,11211
CY,2015,11230
CY,2016,11890
CY,2017,12554
CY,2018,13527
CY,2019,14908
CY,2020,14982
CY,2021,16274
CY,2022,18388
CY,2023,19258
LV,2012,11664
LV,2013,11894
LV,2014,12370
LV,2015,13151
LV,2016,13847
LV,2017,14744
LV,2018,15887
LV,2019,16693
LV,2020,16926
LV,2021,18074
LV,2022,19904
LV,2023,22626
LT,2012,19015
LT,2013,20193
LT,2014,20680
LT,2015,21461
LT,2016,23182
LT,2017,23380
LT,2018,25179
LT,2019,27651
LT,2020,30204
LT,2021,33497
LT,2022,37998
LT,2023,42190
LU,2012,16133
LU,2013,17153
LU,2014,17747
LU,2015,18027
LU,2016,18439
LU,2017,19680
LU,2018,20473
LU,2019,21632
LU,2020,23235
LU,2021,23539
LU,2022,24868
LU,2023,24737
HU,2012,55347
HU,2013,55815
HU,2014,55686
HU,2015,57719
HU,2016,60542
HU,2017,66722
HU,2018,72365
HU,2019,79087
HU,2020,74734
HU,2021,84224
HU,2022,91618
HU,2023,110062
MT,2012,4197
MT,2013,4478
MT,2014,4654
MT,2015,5102
MT,2016,5497
MT,2017,5980
MT,2018,6581
MT,2019,7245
MT,2020,7391
MT,2021,8060
MT,2022,8604
MT,2023,9982
NL,2012,288411
NL,2013,290445
NL,2014,300929
NL,2015,309726
NL,2016,321419
NL,2017,329947
NL,2018,347493
NL,2019,365204
NL,2020,380904
NL,2021,403581
NL,2022,437491
NL,2023,476339
AT,2012,179086
AT,2013,177836
AT,2014,181620
AT,2015,185621
AT,2016,193604
AT,2017,198026
AT,2018,205205
AT,2019,209404
AT,2020,209187
AT,2021,216970
AT,2022,238423
AT,2023,257122
PL,2012,240302
PL,2013,242394
PL,2014,257208
PL,2015,263871
PL,2016,264825
PL,2017,286739
PL,2018,303652
PL,2019,322113
PL,2020,335177
PL,2021,335933
PL,2022,375935
PL,2023,425592
PT,2012,111948
PT,2013,110794
PT,2014,110217
PT,2015,114390
PT,2016,118109
PT,2017,120948
PT,2018,126199
PT,2019,131904
PT,2020,129690
PT,2021,136617
PT,2022,148157
PT,2023,159939
RO,2012,71515
RO,2013,73341
RO,2014,74520
RO,2015,80196
RO,2016,87623
RO,2017,99626
RO,2018,106510
RO,2019,125754
RO,2020,124202
RO,2021,131541
RO,2022,149444
RO,2023,169551
SI,2012,20411
SI,2013,20363
SI,2014,20591
SI,2015,20978
SI,2016,21924
SI,2017,23046
SI,2018,24521
SI,2019,26253
SI,2020,27463
SI,2021,29448
SI,2022,32431
SI,2023,35232
SK,2012,39679
SK,2013,39776
SK,2014,40576
SK,2015,42842
SK,2016,44129
SK,2017,46148
SK,2018,50754
SK,2019,53015
SK,2020,55363
SK,2021,58186
SK,2022,63706
SK,2023,69843
FI,2012,105251
FI,2013,107317
FI,2014,108631
FI,2015,110498
FI,2016,112167
FI,2017,114481
FI,2018,118097
FI,2019,121819
FI,2020,122439
FI,2021,126351
FI,2022,131422
FI,2023,137636
SE,2012,209882
SE,2013,216913
SE,2014,213387
SE,2015,214169
SE,2016,220433
SE,2017,225898
SE,2018,221308
SE,2019,224413
SE,2020,226954
SE,2021,249979
SE,2022,258773
SE,2023,252578
